Model,Number of parameters,Learning rate,Number of epochs,Training time,Mean best training accuracy,Std best training accuracy,Mean test accuracy,Std test accuracy
Incept1,409327,0.01,100,121.26,1.0,0.0,0.695,0.0028
Incept2,396031,0.01,100,219.24,0.554,0.0057,0.5535,0.0064
Incept3,219203,0.01,300,599.99,0.5705,0.0078,0.549,0.0184
Incept4,247253,0.01,100,72.96,0.7655,0.0148,0.699,0.0255
InceptCheat,130855,0.01,100,199.52,0.6965,0.0516,0.693,0.0792
Incept2_better,186211,0.01,100,202.1,0.568,0.0127,0.5525,0.0049
Incept3,219203,0.01,100,203.17,0.55,0.0467,0.538,0.0
Incept21,118091,0.01,100,199.88,0.5585,0.012,0.5485,0.0219
Incept22,138571,0.01,100,216.35,1.0,0.0,0.6515,0.0064
Incept3,219203,0.005,100,194.21,0.544,0.0127,0.5535,0.0021
Incept3,219203,0.0001,100,189.18,0.5535,0.0134,0.5545,0.0035
Incept3,219203,0.1,100,203.02,0.542,0.0057,0.548,0.0255
Incept11,100907,0.01,300,293.25,0.93,0.0198,0.684,0.0014
Incept11,409327,0.01,100,81.33,0.781,0.0255,0.715,0.0
Incept11,100907,0.01,150,102.27,0.735,0.0325,0.708,0.0184
Incept11,100907,0.01,250,174.72,0.8295,0.0318,0.703,0.0042
Incept11,100907,0.01,1000,860.47,1.0,0.0,0.6845,0.0064
