Model,Number of parameters,Learning rate,Number of epochs,Training time,Mean best training accuracy,Std best training accuracy,Mean test accuracy,Std test accuracy
NetSharing1,44517,0.01,300,238.42,1.0,0.0,0.8503,0.0055
NetSharing2,125997,0.01,300,687.63,1.0,0.0,0.8607,0.0106
NetSharing2c,9137,0.01,300,205.38,0.9977,0.0006,0.5053,0.0067
NetSharing2d,1947,0.01,300,173.75,1.0,0.0,0.842,0.019
NetSharing2d1,1567,0.01,300,154.86,1.0,0.0,0.8273,0.0085
NetSharing2d2,839,0.01,300,115.73,0.9663,0.0182,0.8193,0.0229
NetSharing2d3,1421,0.01,300,122.48,0.9903,0.004,0.8397,0.0081
NetSharing3,177097,0.01,300,650.33,1.0,0.0,0.8627,0.004
NetSharing1,44517,0.01,75,50.53,1.0,0.0,0.847,0.0141
NetSharing2,100247,0.01,75,139.32,1.0,0.0,0.8645,0.0049
NetSharing2b,125897,0.01,75,146.66,1.0,0.0,0.8725,0.0106
NetSharing2c,9137,0.01,75,43.16,0.9995,0.0007,0.862,0.0028
NetSharing2d,1937,0.01,75,36.29,0.9955,0.0007,0.83,0.0099
NetSharing2d1,1663,0.01,75,33.14,0.996,0.0014,0.8285,0.0177
NetSharing2d2,823,0.01,75,25.77,0.9645,0.0021,0.8545,0.0092
NetSharing2d3,1411,0.01,75,25.54,0.9935,0.0092,0.839,0.0127
NetSharing3,84777,0.01,75,143.45,1.0,0.0,0.8625,0.0233
NetSharing2d4,1411,0.01,75,25.51,0.9935,0.0007,0.816,0.0156
